,year,month,day,dep_time,sched_dep_time,dep_delay,arr_time,sched_arr_time,arr_delay,carrier,flight,tailnum,origin,dest,air_time,distance,hour,minute,time_hour
111296,2013,2,1,456.0,500,-4.0,652.0,648,4.0,US,1117,N197UW,EWR,CLT,98.0,529,5,0,2013-02-01T10:00:00Z
111297,2013,2,1,520.0,525,-5.0,816.0,820,-4.0,UA,1018,N24211,EWR,IAH,209.0,1400,5,25,2013-02-01T10:00:00Z
111298,2013,2,1,527.0,530,-3.0,837.0,829,8.0,UA,650,N470UA,LGA,IAH,233.0,1416,5,30,2013-02-01T10:00:00Z
111299,2013,2,1,532.0,540,-8.0,1007.0,1017,-10.0,B6,725,N554JB,JFK,BQN,195.0,1576,5,40,2013-02-01T10:00:00Z
111300,2013,2,1,540.0,540,0.0,859.0,850,9.0,AA,1141,N615AA,JFK,MIA,169.0,1089,5,40,2013-02-01T10:00:00Z
111301,2013,2,1,552.0,600,-8.0,714.0,715,-1.0,EV,5716,N829AS,JFK,IAD,58.0,228,6,0,2013-02-01T11:00:00Z
111302,2013,2,1,552.0,600,-8.0,919.0,910,9.0,AA,707,N3BUAA,LGA,DFW,227.0,1389,6,0,2013-02-01T11:00:00Z
111303,2013,2,1,552.0,600,-8.0,655.0,709,-14.0,B6,380,N346JB,EWR,BOS,42.0,200,6,0,2013-02-01T11:00:00Z
111304,2013,2,1,553.0,600,-7.0,833.0,815,18.0,FL,345,N980AT,LGA,ATL,134.0,762,6,0,2013-02-01T11:00:00Z
111305,2013,2,1,553.0,600,-7.0,821.0,825,-4.0,MQ,4650,N1EAMQ,LGA,ATL,125.0,762,6,0,2013-02-01T11:00:00Z
111306,2013,2,1,553.0,600,-7.0,659.0,659,0.0,US,2161,N730US,LGA,DCA,49.0,214,6,0,2013-02-01T11:00:00Z
111307,2013,2,1,554.0,600,-6.0,713.0,716,-3.0,EV,4201,N14198,EWR,IAD,52.0,212,6,0,2013-02-01T11:00:00Z
111308,2013,2,1,554.0,600,-6.0,851.0,904,-13.0,B6,371,N623JB,LGA,FLL,159.0,1076,6,0,2013-02-01T11:00:00Z
111309,2013,2,1,554.0,601,-7.0,920.0,918,2.0,UA,1030,N17122,JFK,LAX,356.0,2475,6,1,2013-02-01T11:00:00Z
111310,2013,2,1,555.0,600,-5.0,903.0,906,-3.0,B6,125,N523JB,JFK,FLL,160.0,1069,6,0,2013-02-01T11:00:00Z
111311,2013,2,1,556.0,600,-4.0,730.0,745,-15.0,AA,301,N3GKAA,LGA,ORD,114.0,733,6,0,2013-02-01T11:00:00Z
111312,2013,2,1,557.0,600,-3.0,859.0,859,0.0,B6,507,N705JB,EWR,FLL,156.0,1065,6,0,2013-02-01T11:00:00Z
111313,2013,2,1,558.0,600,-2.0,916.0,912,4.0,B6,135,N537JB,JFK,RSW,179.0,1074,6,0,2013-02-01T11:00:00Z
111314,2013,2,1,558.0,600,-2.0,738.0,759,-21.0,DL,731,N358NB,LGA,DTW,77.0,502,6,0,2013-02-01T11:00:00Z
111315,2013,2,1,558.0,605,-7.0,753.0,805,-12.0,MQ,4401,N725MQ,LGA,DTW,83.0,502,6,5,2013-02-01T11:00:00Z
111316,2013,2,1,559.0,600,-1.0,923.0,925,-2.0,UA,303,N508UA,JFK,SFO,358.0,2586,6,0,2013-02-01T11:00:00Z
111317,2013,2,1,600.0,600,0.0,833.0,837,-4.0,DL,461,N666DN,LGA,ATL,129.0,762,6,0,2013-02-01T11:00:00Z
111318,2013,2,1,601.0,600,1.0,717.0,730,-13.0,WN,3223,N8308K,LGA,MDW,113.0,725,6,0,2013-02-01T11:00:00Z
111319,2013,2,1,601.0,608,-7.0,703.0,725,-22.0,UA,733,N848UA,EWR,BOS,41.0,200,6,8,2013-02-01T11:00:00Z
111320,2013,2,1,601.0,608,-7.0,723.0,755,-32.0,UA,963,N481UA,EWR,CLE,68.0,404,6,8,2013-02-01T11:00:00Z
111321,2013,2,1,602.0,600,2.0,655.0,658,-3.0,US,1833,N945UW,JFK,PHL,26.0,94,6,0,2013-02-01T11:00:00Z
111322,2013,2,1,603.0,610,-7.0,913.0,915,-2.0,AA,1837,N3GYAA,LGA,MIA,164.0,1096,6,10,2013-02-01T11:00:00Z
111323,2013,2,1,604.0,610,-6.0,752.0,817,-25.0,DL,1919,N324US,LGA,MSP,144.0,1020,6,10,2013-02-01T11:00:00Z
111324,2013,2,1,604.0,615,-11.0,747.0,750,-3.0,MQ,4518,N723MQ,LGA,RDU,81.0,431,6,15,2013-02-01T11:00:00Z
111325,2013,2,1,605.0,610,-5.0,719.0,735,-16.0,WN,3839,N965WN,EWR,MDW,113.0,711,6,10,2013-02-01T11:00:00Z
111326,2013,2,1,608.0,615,-7.0,837.0,842,-5.0,DL,575,N340NB,EWR,ATL,125.0,746,6,15,2013-02-01T11:00:00Z
111327,2013,2,1,609.0,610,-1.0,902.0,902,0.0,B6,145,N806JB,JFK,PBI,154.0,1028,6,10,2013-02-01T11:00:00Z
111328,2013,2,1,610.0,615,-5.0,905.0,855,10.0,9E,3856,N176PQ,JFK,ATL,144.0,760,6,15,2013-02-01T11:00:00Z
